,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Exchange,T R A P S O U L,Bryson Tiller,2015-10-02,194613,78,0.525,0.107,0.525,0.433,0.0,0.135,-10.598,0.185,160.108,4
1,Come and See Me (feat. Drake),PARTYNEXTDOOR 3 (P3),PARTYNEXTDOOR,2016-08-12,235477,73,0.717,0.0511,0.717,0.347,2.43e-06,0.087,-10.265,0.0636,84.987,4
2,Living Single,Living Single,Big Sean,2016-12-17,276346,67,0.714,0.223,0.714,0.62,0.0,0.109,-5.045,0.296,80.109,4
3,Do Not Disturb,More Life,Drake,2017-03-18,283550,70,0.618,0.246,0.618,0.693,0.0,0.112,-5.943,0.45,170.982,4
4,Potato Salad,Potato Salad,"Tyler, The Creator",2018-09-28,182493,74,0.538,0.308,0.538,0.612,0.0,0.213,-6.02,0.424,168.197,4
5,Slave,Bobby Tarantino,Logic,2016-07-01,179640,49,0.83,0.0445,0.83,0.707,1.87e-05,0.144,-7.426,0.048,122.986,4
6,Hereditary,The Never Story,JID,2017-03-10,243206,53,0.491,0.466,0.491,0.551,1.94e-05,0.199,-12.332,0.358,154.992,4
7,Dreams,Cozz & Effect,Cozz,2014-01-01,215746,34,0.552,0.00386,0.552,0.686,0.0,0.17,-6.408,0.307,76.868,4
8,No More Parties In LA,The Life Of Pablo,Kanye West,2016-06-10,374413,66,0.508,0.246,0.508,0.921,0.0,0.221,-1.644,0.303,93.058,4
9,Fried Rice (with JID),Spilled Milk 1,Bas,2019-08-09,175693,53,0.736,0.19,0.736,0.618,2.44e-06,0.33,-8.214,0.282,134.032,4
10,Can I Kick It? - J. Cole Remix,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,1990-04-17,169373,48,0.903,0.434,0.903,0.423,1.49e-06,0.0859,-5.829,0.235,96.612,4
11,3005,Because the Internet,Childish Gambino,2013-12-10,234215,76,0.472,0.113,0.472,0.448,0.0,0.0914,-7.272,0.326,166.077,4
12,LIFE,CARE FOR ME,Saba,2018-04-05,162750,61,0.902,0.0192,0.902,0.497,0.0,0.109,-9.236,0.266,120.016,4
13,RNP (feat. Anderson .Paak),The Lost Boy,Cordae,2019-07-26,175827,72,0.611,0.184,0.611,0.714,0.0,0.145,-4.696,0.856,196.043,4
14,Clouds Never Get Old,Too High To Riot,Bas,2016-01-16,188933,44,0.643,0.102,0.643,0.557,0.0,0.394,-5.412,0.308,136.393,5
15,"Swivel (with EARTHGANG) - From The Album ""Mirrorland""",Revenge Of The Dreamers III,Dreamville,2019-07-05,194613,51,0.507,0.25,0.507,0.545,0.0,0.239,-7.209,0.43,78.461,4
16,Don't,T R A P S O U L,Bryson Tiller,2015-10-02,198293,79,0.765,0.223,0.765,0.356,0.0,0.0963,-5.556,0.195,96.991,4
17,Numb Numb Juice,CrasH Talk,ScHoolboy Q,2019-04-26,107146,68,0.885,0.00172,0.885,0.492,7.79e-05,0.081,-6.015,0.367,156.958,4
18,Jazz,The Water (S),Mick Jenkins,2014-08-12,260160,61,0.636,0.25,0.636,0.61,0.000121,0.113,-9.665,0.119,125.227,3
19,Photosynthesis,Bucket List Project,Saba,2016-10-27,201732,70,0.777,0.536,0.777,0.662,4.61e-06,0.593,-8.393,0.27,111.13,4
20,Amphetamine,blkswn,Smino,2017-03-14,469830,66,0.619,0.715,0.619,0.532,1.33e-05,0.0953,-9.554,0.515,120.019,4
21,Free Lunch,The Sun's Tirade,Isaiah Rashad,2016-09-02,192029,63,0.865,0.223,0.865,0.472,5.39e-05,0.109,-7.359,0.237,130.011,4
22,Self Care,Swimming,Mac Miller,2018-08-03,345133,78,0.52,0.367,0.52,0.538,0.00187,0.119,-8.109,0.206,141.894,4
23,Missed Calls,Strays with Rabies,EARTHGANG,2015-11-05,270746,57,0.789,0.00775,0.789,0.665,0.0,0.109,-5.201,0.0665,127.914,4
24,Hurt Feelings,Swimming,Mac Miller,2018-08-03,245640,70,0.69,0.343,0.69,0.462,0.00218,0.113,-8.054,0.13,157.655,4
25,SHINE,ONEPOINTFIVE,Aminé,2018-08-15,150000,66,0.704,0.314,0.704,0.517,6.36e-06,0.174,-7.999,0.312,139.857,4
26,Vibe,The Water (S),Mick Jenkins,2014-08-12,274825,54,0.544,0.311,0.544,0.626,0.0,0.106,-9.544,0.334,79.101,1
27,Coming Back (feat. Mac Miller),Genesis,Domo Genesis,2016-03-25,161653,60,0.514,0.16,0.514,0.723,0.0,0.672,-8.748,0.406,89.14,4
28,BUSY / SIRENS,CARE FOR ME,Saba,2018-04-05,329541,60,0.667,0.471,0.667,0.465,0.0,0.101,-10.337,0.342,133.859,4
29,Suede,Yes Lawd!,NxWorries,2016-10-21,174866,63,0.669,0.459,0.669,0.735,0.0,0.103,-7.264,0.329,117.284,4
30,Right Here,Tomorrow,Dave B.,2016-07-22,204534,50,0.653,0.368,0.653,0.41,0.0,0.108,-13.26,0.0912,128.045,4
31,Chicago Diner,FOTO,Kota the Friend,2019-05-15,175037,58,0.84,0.644,0.84,0.574,9.65e-05,0.107,-7.946,0.054,133.057,4
32,Anita,Anita,Smino,2017-02-08,220157,55,0.779,0.206,0.779,0.581,0.0,0.146,-7.539,0.457,63.588,4
33,Meditate (feat. J.I.D.),Rags - EP,EARTHGANG,2017-09-01,278083,64,0.743,0.0757,0.743,0.679,0.0,0.347,-8.295,0.286,147.752,4
34,Wat's Wrong (feat. Zacari & Kendrick Lamar),The Sun's Tirade,Isaiah Rashad,2016-09-02,330783,67,0.706,0.151,0.706,0.688,0.0,0.466,-6.357,0.269,125.966,4
35,Alkaline,FOTO,Kota the Friend,2019-05-15,190252,60,0.768,0.469,0.768,0.527,0.0,0.162,-8.153,0.229,154.003,4
